"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"13/03/2024","16:15:0",20.6,1016.08,-23.55,90.6
"13/03/2024","16:16:0",20.71,1016.46,-26.72,90.97
"13/03/2024","16:17:0",20.74,1016.96,-30.82,91.14
"13/03/2024","16:18:0",20.88,1017.74,-37.32,91.83
"13/03/2024","16:19:0",21,1017.81,-37.91,91.47
"13/03/2024","16:20:0",21.04,1018.1,-40.27,90.39
"13/03/2024","16:21:0",21.02,1018.53,-43.86,89.22
"13/03/2024","16:22:0",21,1019.19,-49.36,89.41
"13/03/2024","16:23:0",20.94,1020.16,-57.34,88.67
"13/03/2024","16:24:0",20.82,1021.21,-66.08,87.71
"13/03/2024","16:25:0",20.85,1021.69,-70.03,89.39
"13/03/2024","16:26:0",20.79,1021.23,-66.2,89.37
"13/03/2024","16:27:0",20.94,1020.33,-58.75,91.04
"13/03/2024","16:28:0",21.03,1019.05,-48.21,90.84
"13/03/2024","16:29:0",20.96,1018.45,-43.22,90.06
"13/03/2024","16:30:0",21.07,1018.48,-43.42,90.12
"13/03/2024","16:31:0",21.24,1018.5,-43.66,90.84
"13/03/2024","16:32:0",21.3,1018.57,-44.17,89.64
"13/03/2024","16:33:0",21.25,1018.36,-42.45,89.19
"13/03/2024","16:34:0",21.15,1018.24,-41.43,87.37
"13/03/2024","16:35:0",21.14,1017.66,-36.68,88.8
"13/03/2024","16:36:0",21.23,1017.65,-36.53,89.28
"13/03/2024","16:37:0",21.23,1017.36,-34.19,89.12
"13/03/2024","16:38:0",21.14,1017.5,-35.3,88.38
"13/03/2024","16:39:0",21.14,1017.23,-33.07,89.6
"13/03/2024","16:40:0",21.15,1015.81,-21.31,90.24
"13/03/2024","16:41:0",21.07,1014.09,-7.03,90.15
"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"14/03/2024","9:43:0",22.45,1024.93,-96.73,59.44
"14/03/2024","9:44:0",23.59,1025.11,-98.31,58.96
"14/03/2024","9:45:0",25.64,1025,-97.4,52.91
"14/03/2024","9:46:0",25.55,1024.95,-96.96,52.35
"14/03/2024","9:47:0",25.8,1024.92,-96.71,53.46
"14/03/2024","9:48:0",26.03,1024.94,-96.9,53.03
"14/03/2024","9:49:0",25.68,1024.97,-97.16,55.46
"14/03/2024","9:50:0",24.18,1025.09,-98.1,59.41
"14/03/2024","9:51:0",24.61,1025.23,-99.28,63.13
"14/03/2024","9:52:0",25.15,1025.76,-103.6,59.28
"14/03/2024","9:53:0",25.17,1025.65,-102.72,57.34
"14/03/2024","9:54:0",25.21,1025.56,-102.01,55.65
"14/03/2024","9:55:0",25.47,1025.5,-101.46,55.63
"14/03/2024","9:56:0",26.24,1025.43,-100.9,54.08
"14/03/2024","9:57:0",25.96,1025.53,-101.75,56.67
"14/03/2024","9:58:0",26.28,1025.45,-101.09,51.6
"14/03/2024","9:59:0",26.42,1025.41,-100.81,51.72
"14/03/2024","10:0:0",26.33,1025.42,-100.83,52.94
"14/03/2024","10:1:0",25.8,1025.43,-100.95,53.86
"14/03/2024","10:2:0",25.76,1025.44,-100.98,55.56
"14/03/2024","10:3:0",25.1,1025.46,-101.15,55.97
"14/03/2024","10:4:0",24.06,1025.54,-101.84,60.54
"14/03/2024","10:5:0",23.92,1025.53,-101.74,60.97
"14/03/2024","10:6:0",24.31,1025.26,-99.51,62.03
"14/03/2024","10:7:0",25.35,1024.76,-95.38,60.65
"14/03/2024","10:8:0",24.81,1024.69,-94.77,61.41
"14/03/2024","10:9:0",24.78,1024.76,-95.41,59.36
"14/03/2024","10:10:0",24.37,1024.7,-94.93,59.55
"14/03/2024","10:11:1",24.84,1024.78,-95.6,58.65
"14/03/2024","10:12:0",24.87,1024.75,-95.32,57.99
"14/03/2024","10:13:0",24.21,1024.72,-95.03,63.27
"14/03/2024","10:14:0",24.49,1024.81,-95.81,63.89
"14/03/2024","10:15:0",26.09,1024.61,-94.2,55.98
"14/03/2024","10:16:0",27.53,1024.64,-94.38,51.73
"14/03/2024","10:17:0",27.97,1024.64,-94.81,48.93
"14/03/2024","10:18:0",27.93,1024.69,-94.82,50.64
"14/03/2024","10:19:0",29.23,1024.65,-94.45,47.49
"14/03/2024","10:20:0",28.33,1024.5,-93.24,47.34
"14/03/2024","10:21:0",28.61,1024.7,-94.94,50.26
"14/03/2024","10:22:0",28,1024.68,-94.71,50.4
"14/03/2024","10:23:0",25.56,1024.93,-96.76,58.26
"14/03/2024","10:24:0",25.74,1025.34,-100.15,54.7
"14/03/2024","10:25:0",25.09,1025.52,-101.65,57
"14/03/2024","10:26:0",25.47,1025.47,-101.26,54.5
"14/03/2024","10:27:0",26.12,1025.36,-100.35,54.53
"14/03/2024","10:28:0",26.05,1025.25,-99.4,53.25
"14/03/2024","10:29:0",26.99,1025.17,-98.76,52.83
"14/03/2024","10:30:0",27.52,1025.13,-98.47,55.24
"14/03/2024","10:31:0",27.94,1025.11,-98.31,54.14
"14/03/2024","10:32:0",28.24,1025.16,-98.65,47.2
"14/03/2024","10:33:0",26.87,1025.24,-99.36,52.28
"14/03/2024","10:34:0",24.62,1025.61,-102.38,59.9
"14/03/2024","10:35:0",23.36,1025.65,-102.76,64.84
"14/03/2024","10:36:0",22.9,1025.66,-102.79,67.23
"14/03/2024","10:37:0",23.51,1025.81,-104.07,67.12
"14/03/2024","10:38:0",23.45,1025.8,-103.99,66.88
"14/03/2024","10:39:0",24.55,1025.85,-104.38,64.06
"14/03/2024","10:40:0",25.79,1025.73,-103.41,58.8
"14/03/2024","10:41:0",25.91,1025.73,-103.4,58.93
"14/03/2024","10:42:0",26.14,1025.69,-103.04,59.43
"14/03/2024","10:43:0",26.63,1025.74,-103.44,56.39
"14/03/2024","10:44:0",25.85,1025.76,-103.63,59.37
"14/03/2024","10:45:0",26.14,1025.69,-103.06,60.76
"14/03/2024","10:46:0",25.34,1025.86,-104.43,61.4
"14/03/2024","10:47:0",26.08,1025.76,-103.65,60.81
"14/03/2024","10:48:0",26.67,1025.69,-103.04,58
"14/03/2024","10:49:0",25.62,1025.69,-102.99,61.85
"14/03/2024","10:50:0",25.79,1025.67,-102.88,60.79
"14/03/2024","10:51:0",25.97,1025.64,-102.66,60.8
"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"14/03/2024","11:38:0",25.6,1024.92,-96.69,62.14
"14/03/2024","11:39:0",24.65,1025.22,-99.22,62.03
"14/03/2024","11:40:0",24.87,1025.27,-99.61,60.9
"14/03/2024","11:41:0",25.14,1025.31,-99.92,62.61
"14/03/2024","11:42:0",25.52,1025.23,-99.23,58.78
"14/03/2024","11:43:0",25.28,1025.3,-99.84,60.03
"14/03/2024","11:44:0",25.75,1025.25,-99.43,60.8
"14/03/2024","11:45:0",25.91,1025.16,-98.7,58.32
"14/03/2024","11:46:0",25.97,1025.19,-98.91,58.76
"14/03/2024","11:47:0",26.29,1025.18,-98.9,57.39
"14/03/2024","11:48:0",26.18,1025.15,-98.64,55.51
"14/03/2024","11:49:0",26.11,1025.17,-98.77,57.3
"14/03/2024","11:50:0",26.11,1025.16,-98.73,57.74
"14/03/2024","11:51:0",26.39,1025.18,-98.88,57.52
"14/03/2024","11:52:0",26.31,1025.15,-98.61,56.54
"14/03/2024","11:53:0",26.35,1025.17,-98.8,57.81
"14/03/2024","11:54:0",26.46,1025.1,-98.21,57.14
"14/03/2024","11:55:0",26.48,1025.09,-98.09,56.85
"14/03/2024","11:56:0",26.52,1025.12,-98.39,57.48
"14/03/2024","11:57:0",26.16,1025.09,-98.09,58.47
"14/03/2024","11:58:0",24.97,1025.27,-99.57,62.31
"14/03/2024","11:59:0",25.37,1025.25,-99.43,63.97
"14/03/2024","12:0:0",25.88,1025.21,-99.07,62.31
"14/03/2024","12:1:0",26.05,1025.08,-98.05,59.65
"14/03/2024","12:2:0",24.78,1025.03,-97.61,61.07
"14/03/2024","12:3:0",24.79,1024.98,-97.17,61.24
"14/03/2024","12:4:0",24.64,1024.97,-97.16,61.67
"14/03/2024","12:5:0",24.08,1025.04,-97.68,64.15
"14/03/2024","12:6:0",24.15,1025.09,-98.16,64.29
"14/03/2024","12:7:0",24.29,1024.78,-95.57,43.83
"14/03/2024","12:8:0",24.07,1024.82,-95.87,46.76
"14/03/2024","12:9:0",24.14,1024.89,-96.51,48.24
"14/03/2024","12:10:0",23.89,1024.86,-96.22,48.27
"14/03/2024","12:11:0",23.62,1024.8,-95.73,50.63
"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"14/03/2024","12:12:0",23.85,1024.83,-95.96,50.95
"14/03/2024","12:13:0",24.13,1024.96,-97.04,55.09
"14/03/2024","12:14:0",24.28,1024.7,-94.91,53.02
"14/03/2024","12:15:0",24.41,1025.19,-98.97,52.1
"14/03/2024","12:16:0",24.48,1025.14,-98.56,51.06
"14/03/2024","12:17:0",24.53,1025.16,-98.73,49.44
"14/03/2024","12:18:0",24.53,1025.16,-98.73,48.85
"14/03/2024","12:19:0",24.53,1025.17,-98.74,48.64
"14/03/2024","12:20:0",24.55,1025.14,-98.53,47.57
"14/03/2024","12:21:0",24.52,1025.07,-97.95,47.44
"14/03/2024","12:22:0",24.49,1025.11,-98.29,47.37
"14/03/2024","12:23:0",24.44,1025.12,-98.32,47.36
"14/03/2024","12:24:0",24.45,1025.13,-98.46,48.93
"14/03/2024","12:25:0",24.46,1024.99,-97.61,49.23
"14/03/2024","12:26:0",24.43,1024.7,-94.87,47.64
"14/03/2024","12:27:0",24.41,1024.89,-96.49,50.86
"14/03/2024","12:28:0",24.46,1023.35,-83.78,53.66
"14/03/2024","12:29:0",24.51,1023.1,-81.73,53.78
"14/03/2024","12:30:0",24.5,1023.45,-84.6,51.77
"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"14/03/2024","14:11:0",18.56,942.19,609.16,74.76
"14/03/2024","14:12:0",18.82,942.19,609.16,74.5
"14/03/2024","14:13:0",18.84,942.2,609.11,73.45
"14/03/2024","14:14:0",18.86,942.19,609.27,73.44
"14/03/2024","14:15:0",18.9,942.2,609.09,74.07
"14/03/2024","14:16:0",18.86,942.19,609.16,74.31
"14/03/2024","14:17:0",18.9,942.14,609.65,72.78
"14/03/2024","14:18:0",19.04,942.14,609.6,73.23
"14/03/2024","14:19:0",19.04,942.12,609.79,72.57
"14/03/2024","14:20:0",18.91,942.13,609.7,73.56
"14/03/2024","14:21:0",18.95,942.12,609.78,73.07
"14/03/2024","14:22:0",18.97,942.13,609.74,73.38
"14/03/2024","14:23:0",19.02,942.16,609.42,73.76
"14/03/2024","14:24:0",19.05,942.15,609.52,73.45
"14/03/2024","14:25:0",18.95,942.18,609.05,73.69
"14/03/2024","14:26:0",18.99,942.21,608.95,73.9
"14/03/2024","14:27:0",19.13,942.17,609.31,74.99
"14/03/2024","14:28:0",19.36,942.19,609.18,76.09
"14/03/2024","14:29:0",19.63,942.22,608.9,77.69
"14/03/2024","14:30:0",19.18,942.06,610.29,72.25
"14/03/2024","14:31:0",18.71,942.12,609.77,73.26
"14/03/2024","14:32:0",18.55,942.09,610.07,74.7
"14/03/2024","14:33:0",18.59,942.38,607.37,74.91
"14/03/2024","14:34:0",18.35,943.14,600.8,76.49
"14/03/2024","14:35:0",18.36,943.18,600.4,75.9
"14/03/2024","14:36:0",18.35,943.19,600.38,75.36
"14/03/2024","14:37:0",18.24,943.22,600.09,77.11
"14/03/2024","14:38:0",18.31,943.21,600.16,77.57
"14/03/2024","14:39:0",18.32,943.19,600.36,77.22
"14/03/2024","14:40:0",18.24,943.16,600.58,77.01
"14/03/2024","14:41:0",18.21,943.15,600.66,78.48
"14/03/2024","14:42:0",18.11,943.3,599.34,78.04
"14/03/2024","14:43:0",18.01,943.12,600.96,77.27
"14/03/2024","14:44:0",17.92,943.28,599.54,77.56
"14/03/2024","14:45:0",17.85,943.19,600.34,78.61
"14/03/2024","14:46:0",17.77,943.2,600.28,78.52
"14/03/2024","14:47:0",17.85,943.18,600.45,79.39
"14/03/2024","14:48:0",17.86,943.16,600.72,78.09
"14/03/2024","14:49:0",17.91,943.14,600.78,78.33
"14/03/2024","14:50:0",17.95,943.13,600.85,78.27
"14/03/2024","14:51:0",17.97,943.13,600.91,78.73
"14/03/2024","14:52:0",18.01,943.14,600.81,78.16
"14/03/2024","14:53:0",18.02,943.09,601.27,78.28
"14/03/2024","14:54:0",18.06,943.05,601.55,78.12
"14/03/2024","14:55:0",18.12,943.05,601.55,78.62
"14/03/2024","14:56:0",18.12,943.07,601.44,77.69
"14/03/2024","14:57:0",18.08,943.12,601.11,78.16
"14/03/2024","14:58:0",18.02,943.14,600.82,78.23
"14/03/2024","14:59:0",17.95,943.12,600.97,77.17
"14/03/2024","15:0:0",17.94,943.12,600.96,78.41
"14/03/2024","15:1:0",17.91,943.04,601.66,78.96
"14/03/2024","15:2:0",17.91,943.09,601.25,78.7
"14/03/2024","15:3:0",17.92,943.12,600.95,78.43
"14/03/2024","15:4:0",17.9,943.13,600.87,78.45
"14/03/2024","15:5:0",17.86,943.12,600.99,78.2
"14/03/2024","15:6:0",17.88,943.15,600.74,78.83
"14/03/2024","15:7:0",17.77,943.12,600.95,78.37
"14/03/2024","15:8:0",17.69,943.15,600.71,79.21
"14/03/2024","15:9:0",17.76,943.11,601.03,79.41
"14/03/2024","15:10:0",17.71,943.13,600.84,80.48
"14/03/2024","15:11:0",17.62,942.45,606.85,79.95
"14/03/2024","15:12:0",17.69,942.51,606.31,80.45
"14/03/2024","15:13:0",17.74,942.53,606.16,80.44
"14/03/2024","15:14:0",17.64,942.58,605.75,80.36
"14/03/2024","15:15:0",17.67,942.58,605.69,80.68
"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"14/03/2024","18:44:0",21.76,1020.67,-61.61,73.91
"14/03/2024","18:45:0",21.91,1020.69,-61.72,72.07
"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"15/03/2024","10:1:0",24.31,798.34,1966.05,17.2
"15/03/2024","10:2:0",23.71,798.24,1967.11,19.68
"15/03/2024","10:3:0",23.16,798.2,1967.47,21.48
"15/03/2024","10:4:0",22.95,798.24,1967.09,23.37
"15/03/2024","10:5:0",22.73,798.3,1966.45,18.59
"15/03/2024","10:6:0",23.06,798.27,1966.83,17.04
"15/03/2024","10:7:0",22.6,798.32,1966.29,17.57
"15/03/2024","10:8:0",22.28,798.27,1966.78,17.72
"15/03/2024","10:9:0",22.11,798.33,1966.13,17.57
"15/03/2024","10:10:0",21.82,798.3,1966.44,17.72
"15/03/2024","10:11:0",21.54,798.37,1965.78,18.28
"15/03/2024","10:12:0",21.6,798.39,1965.52,18.03
"15/03/2024","10:13:0",21.62,798.36,1965.84,17.85
"15/03/2024","10:14:0",21.71,798.4,1965.45,18.59
"15/03/2024","10:15:0",21.76,798.39,1965.99,17.93
"15/03/2024","10:16:0",21.72,798.38,1965.64,18.19
"15/03/2024","10:17:0",21.7,798.39,1965.53,17.35
"15/03/2024","10:18:0",21.78,798.38,1965.64,17.56
"15/03/2024","10:19:0",21.98,798.3,1966.43,17.37
"15/03/2024","10:20:0",22.02,798.26,1966.86,16.78
"15/03/2024","10:21:0",21.82,798.3,1966.51,16.93
"15/03/2024","10:22:0",21.66,798.29,1966.54,16.52
"15/03/2024","10:23:0",21.77,798.3,1966.46,16.88
"15/03/2024","10:24:0",22.32,798.25,1966.94,16.72
"15/03/2024","10:25:0",22.66,798.22,1967.24,16.25
"15/03/2024","10:26:0",23.38,798.54,1964.05,15.33
"15/03/2024","10:27:0",24.35,798.73,1962.29,14.32
"15/03/2024","10:28:0",25.34,799,1959.41,13.99
"15/03/2024","10:29:0",25.95,799.24,1957.03,13.32
"15/03/2024","10:30:0",26.72,799.43,1955.09,13.08
"15/03/2024","10:31:0",26.86,799.5,1954.35,12.68
"15/03/2024","10:32:0",26.42,799.62,1953.12,13.66
"15/03/2024","10:33:0",26.37,799.51,1954.25,13.83
"15/03/2024","10:34:0",26.19,799.52,1954.18,13.92
"15/03/2024","10:35:0",25.41,799.53,1954.03,14.38
"15/03/2024","10:36:0",25.24,799.53,1954.03,15.54
"15/03/2024","10:37:0",24.92,799.58,1953.61,15.1
"15/03/2024","10:38:0",25.31,799.61,1953.22,15.97
"15/03/2024","10:39:0",25.95,799.55,1953.83,15.04
"15/03/2024","10:40:0",26.28,799.57,1953.65,14.27
"15/03/2024","10:41:0",26.18,799.57,1953.69,15.39
"15/03/2024","10:42:0",26.2,799.57,1953.65,13.76
"15/03/2024","10:43:0",26.12,799.58,1953.59,14.52
"15/03/2024","10:44:0",26.46,799.48,1954.49,14.21
"15/03/2024","10:45:0",25.73,799.43,1955.07,13.27
"15/03/2024","10:46:0",25.47,799.41,1955.1,13.5
"15/03/2024","10:47:0",24.36,799.21,1957.27,14.45
"15/03/2024","10:48:0",25.1,799.29,1956.51,14.88
"15/03/2024","10:49:0",25.2,799.33,1956.1,14.16
"15/03/2024","10:50:0",25.66,799.51,1954.25,14.74
"15/03/2024","10:51:0",27.4,799.49,1954.44,14.17
"15/03/2024","10:52:0",28.73,799.45,1954.89,12.83
"15/03/2024","10:53:0",28.28,799.44,1954.96,12.77
"15/03/2024","10:54:0",27.19,799.49,1954.51,12.76
"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"15/03/2024","15:10:0",20.36,676.73,3277.72,15.05
"15/03/2024","15:11:0",20.07,677.58,3267.9,15.09
"15/03/2024","15:12:0",17.73,678.21,3260.59,17.43
"15/03/2024","15:13:0",16.25,678.41,3258.24,18.22
"15/03/2024","15:14:0",14.68,678.55,3256.65,19.77
"15/03/2024","15:15:0",14.36,678.42,3258.14,19.66
"15/03/2024","15:16:0",13.93,678.51,3257.18,20.71
"15/03/2024","15:17:0",13.43,678.49,3257.36,21.1
"15/03/2024","15:18:0",12.43,678.53,3256.96,22.4
"15/03/2024","15:19:0",13.61,678.48,3257.43,21.15
"15/03/2024","15:20:0",14.46,678.43,3258.11,19.29
"15/03/2024","15:21:0",15.43,678.27,3259.93,19.51
"15/03/2024","15:22:0",16,678.2,3260.69,19.33
"15/03/2024","15:23:0",16.77,677.53,3268.41,18.49
"15/03/2024","15:24:0",15.7,676.75,3277.48,16.58
"15/03/2024","15:25:0",16.71,676.78,3277.1,17.37
"15/03/2024","15:26:0",17.94,676.75,3277.41,17.2
"15/03/2024","15:27:0",19.02,676.73,3277.61,17.19
"15/03/2024","15:28:0",19.53,676.7,3277.95,16.26
"15/03/2024","15:29:0",20.06,676.66,3278.5,15.57
"15/03/2024","15:30:0",20.05,676.72,3277.8,14.18
"15/03/2024","15:31:0",17.81,676.74,3277.5,15.65
"15/03/2024","15:32:0",17.5,676.75,3277.41,16.08
"15/03/2024","15:33:0",16.4,676.75,3276.95,17.7
"15/03/2024","15:34:0",16.92,676.8,3276.87,16.72
"15/03/2024","15:35:0",17,676.79,3276.96,17.06
"15/03/2024","15:36:0",16.88,676.76,3277.32,17.25
"15/03/2024","15:37:0",17.82,676.75,3277.48,15.24
"15/03/2024","15:38:0",18.67,676.74,3277.55,14.34
"15/03/2024","15:39:0",19.06,676.7,3277.96,14.44
"15/03/2024","15:40:0",19.6,676.68,3278.21,14.72
"15/03/2024","15:41:0",20.19,676.68,3278.26,14.49
"15/03/2024","15:42:0",20.72,676.66,3278.48,13.83
"15/03/2024","15:43:0",21.38,676.67,3278.41,13.87
"15/03/2024","15:44:0",21.89,676.59,3279.3,13.03
"15/03/2024","15:45:0",22.16,676.49,3280.25,13.49
"15/03/2024","15:46:0",21.38,676.59,3279.33,14.1
"15/03/2024","15:47:0",19.04,676.48,3280.53,14.8
"15/03/2024","15:48:0",19.95,676.41,3281.37,15.42
"15/03/2024","15:49:0",18.45,676.08,3285.13,16.61
"15/03/2024","15:50:0",18.08,675.92,3287.04,17
"15/03/2024","15:51:0",18.11,676.04,3285.59,16.41
"15/03/2024","15:52:0",19.3,675.72,3289.35,15.26
"15/03/2024","15:53:0",18.79,674.98,3297.87,15.79
"15/03/2024","15:54:0",17.14,674.54,3303.02,17.03
"15/03/2024","15:55:0",18.18,673.87,3310.72,16.16
"15/03/2024","15:56:0",16.65,674.21,3306.82,15.71
"15/03/2024","15:57:0",16.24,674.34,3305.33,17.91
"15/03/2024","15:58:0",12.13,674.67,3301.42,22.01
"15/03/2024","15:59:0",14.06,674.44,3304.12,21.49
"15/03/2024","16:0:0",14.49,674.55,3302.84,19.78
"15/03/2024","16:1:0",12.54,674.65,3301.69,17.68
"15/03/2024","16:2:0",13.23,674.56,3302.69,18.58
"15/03/2024","16:3:0",12.03,674.45,3304.02,21.5
"15/03/2024","16:4:0",11.49,674.5,3303.41,21.2
"15/03/2024","16:5:0",11.53,674.46,3303.92,22.51
"15/03/2024","16:6:0",10.65,674.52,3303.2,24.2
"15/03/2024","16:7:0",10.54,674.48,3303.7,24.31
"15/03/2024","16:8:0",10.7,674.39,3304.75,24.39
"15/03/2024","16:9:0",10.18,674.23,3306.54,24.38
"15/03/2024","16:10:0",10.3,674.37,3304.94,23.24
"15/03/2024","16:11:0",10.34,674.34,3305.34,21.18
"15/03/2024","16:12:0",10.33,674.29,3305.88,22.98
"15/03/2024","16:13:0",10.97,674.15,3307.47,22.72
"15/03/2024","16:14:0",11.33,674.1,3308.12,23.38
"15/03/2024","16:15:0",11.59,674.22,3306.69,24.49
"15/03/2024","16:16:0",11.76,674.2,3306.91,24.14
"15/03/2024","16:17:0",12.16,674.21,3306.82,24.6
"15/03/2024","16:18:0",12.5,674.35,3305.14,24.1
"15/03/2024","16:19:0",12.69,674.2,3306.97,23.23
"15/03/2024","16:20:0",12.92,674.28,3306.01,21.35
"15/03/2024","16:21:0",13.49,674.25,3306.3,23.58
"15/03/2024","16:22:0",14.13,680.71,3231.8,23.61
"15/03/2024","16:23:0",14.73,700.72,3003.7,22.44
"15/03/2024","16:24:0",15.32,720.87,2781.05,21.22
"15/03/2024","16:25:0",16.04,741.94,2552.63,22.22
"15/03/2024","16:26:0",16.64,764.06,2318.46,22.05
"15/03/2024","16:27:0",17.26,777.19,2181.98,22.34
"15/03/2024","16:28:0",17.74,777.77,2175.96,24.2
"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"16/03/2024","6:45:0",20.54,1020.52,-60.33,64.66
"16/03/2024","6:46:0",20.08,1020.7,-61.87,66.46
"16/03/2024","6:47:0",19.89,1021.07,-64.93,67.87
"16/03/2024","6:48:0",19.85,1021.63,-69.57,68.14
"16/03/2024","6:49:0",19.79,1022.11,-73.53,67.81
"16/03/2024","6:50:0",19.82,1022.44,-76.27,68.55
"16/03/2024","6:51:0",19.72,1022.36,-75.58,68.2
"16/03/2024","6:52:0",19.37,1022.48,-76.54,69
"16/03/2024","6:53:0",19.08,1022.5,-76.74,70.29
"16/03/2024","6:54:0",18.86,1022.54,-77.06,70.84
"16/03/2024","6:55:0",18.87,1022.47,-76.5,72.99
"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"16/03/2024","8:0:0",21.8,1023.1,-81.71,71.91
"16/03/2024","8:1:0",21.39,1023.11,-81.76,73.38
"16/03/2024","8:2:0",21.05,1023.08,-81.51,74.48
"16/03/2024","8:3:0",21.12,1023.18,-82.36,74.2
"16/03/2024","8:4:0",21.25,1023.07,-81.4,73.88
"16/03/2024","8:5:0",21.49,1023.1,-81.69,74.27
"16/03/2024","8:6:0",21.92,1023.1,-81.67,71.35
"16/03/2024","8:7:0",21.65,1023.15,-82.12,72.15
"16/03/2024","8:8:0",21.47,1023.12,-81.84,73
"16/03/2024","8:9:0",21.26,1023.17,-82.3,73.77
"16/03/2024","8:10:0",21.16,1023.18,-82.33,73.76
"16/03/2024","8:11:0",21.15,1023.17,-82.26,74.4
"16/03/2024","8:12:0",21.2,1023.19,-82.45,74.06
"16/03/2024","8:13:0",21.23,1023.13,-81.96,74.29
"16/03/2024","8:14:0",21.36,1023.13,-81.94,73.19
"16/03/2024","8:15:0",21.28,1023.15,-82.09,73.79
"16/03/2024","8:16:0",21.47,1022.23,-74.53,72.94
"16/03/2024","8:17:0",21.63,1022.17,-74.02,70.6
"16/03/2024","8:18:0",21.77,1022.26,-74.73,70
"16/03/2024","8:19:0",21.88,1022.27,-74.8,69.92
"16/03/2024","8:20:0",21.97,1022.25,-74.68,69.7
"16/03/2024","8:21:0",22.06,1022.23,-74.5,68.72
"16/03/2024","8:22:0",22.12,1022.21,-74.35,67.22
"16/03/2024","8:23:0",22.18,1022.22,-74.4,66.68
"16/03/2024","8:24:0",22.22,1022.26,-74.74,65.58
"16/03/2024","8:25:0",22.26,1022.23,-74.52,64.82
"16/03/2024","8:26:0",22.32,1022.27,-74.86,65.55
"16/03/2024","8:27:0",22.39,1022.31,-75.14,66.44
"16/03/2024","8:28:0",22.47,1022.31,-75.17,66.83
"16/03/2024","8:29:0",22.55,1022.34,-75.37,67.08
"16/03/2024","8:30:0",22.58,1022.31,-75.14,65.95
"16/03/2024","8:31:0",22.61,1022.29,-75,64.79
"16/03/2024","8:32:0",22.64,1022.24,-75.08,64.67
"16/03/2024","8:33:0",22.71,1022.2,-74.28,65.16
"16/03/2024","8:34:0",22.78,1022.13,-73.66,65.8
"16/03/2024","8:35:0",22.87,1021.96,-72.3,67.1
"16/03/2024","8:36:0",22.93,1021.9,-71.75,66.91
"16/03/2024","8:37:0",22.98,1021.88,-71.63,67.06
"16/03/2024","8:38:0",23.02,1021.79,-70.83,65.95
"16/03/2024","8:39:0",23.06,1021.76,-70.61,65.32
"16/03/2024","8:40:0",23.12,1021.65,-69.71,66.26
"16/03/2024","8:41:0",23.16,1021.68,-69.93,65.34
"16/03/2024","8:42:0",23.2,1021.68,-69.97,64.64
"16/03/2024","8:43:0",23.26,1021.97,-72.33,64.61
"16/03/2024","8:44:0",23.34,1021.71,-70.16,65.88
"16/03/2024","8:45:0",23.43,1021.83,-71.17,67.56
"16/03/2024","8:46:0",23.5,1021.69,-70.05,68.01
"16/03/2024","8:47:0",23.54,1021.76,-70.59,66.21
"16/03/2024","8:48:0",23.56,1021.72,-70.27,65.67
"16/03/2024","8:49:0",23.55,1021.7,-70.07,64.49
"16/03/2024","8:50:0",23.58,1021.76,-70.59,64.33
"16/03/2024","8:51:1",23.63,1021.82,-71.08,63.68
"16/03/2024","8:52:0",23.68,1021.74,-70.47,64.33
"16/03/2024","8:53:0",23.73,1021.75,-70.51,64.62
"16/03/2024","8:54:0",23.75,1021.72,-70.32,66.46
"16/03/2024","8:55:0",23.72,1021.72,-70.25,66.24
"16/03/2024","8:56:0",23.67,1021.71,-70.16,64.8
"16/03/2024","8:57:0",23.69,1021.69,-70.03,65.84
"16/03/2024","8:58:0",23.71,1021.66,-69.76,67.95
"16/03/2024","8:59:0",23.75,1021.81,-71.01,68.77
"16/03/2024","9:0:0",23.75,1021.73,-70.39,68.3
"16/03/2024","9:1:0",23.74,1021.75,-70.54,67.42
"16/03/2024","9:2:0",23.72,1021.66,-69.77,66.77
"16/03/2024","9:3:0",23.71,1021.51,-68.52,65.46
"16/03/2024","9:4:0",23.74,1021.51,-68.54,66.94
"16/03/2024","9:5:0",23.75,1021.54,-68.82,67.49
"16/03/2024","9:6:0",23.76,1021.61,-69.41,66.9
"16/03/2024","9:7:0",23.72,1021.61,-69.41,65.42
"16/03/2024","9:8:0",23.65,1021.48,-68.3,64.76
"16/03/2024","9:9:0",23.58,1021.53,-68.7,63.29
